Multi-Task Training Started
====================================================================================================
Epoch  |    Batch     |  Train Loss  |   OC Loss    |   OD Loss    |   Val Loss   |    Val OC    |    Val OD    |  Best 
  4    |    90/281    |    0.4150    |    0.5465    |    0.2836    |     ---      |     ---      |     ---      |       
  4    |   100/281    |    0.4103    |    0.5397    |    0.2809    |     ---      |     ---      |     ---      |       
  4    |   110/281    |    0.4066    |    0.5347    |    0.2784    |     ---      |     ---      |     ---      |       
  4    |   120/281    |    0.4030    |    0.5304    |    0.2755    |     ---      |     ---      |     ---      |       
  4    |   130/281    |    0.3995    |    0.5263    |    0.2727    |     ---      |     ---      |     ---      |       
  4    |   140/281    |    0.3958    |    0.5211    |    0.2706    |     ---      |     ---      |     ---      |       
  4    |   150/281    |    0.3930    |    0.5168    |    0.2692    |     ---      |     ---      |     ---      |       
  4    |   160/281    |    0.3899    |    0.5131    |    0.2667    |     ---      |     ---      |     ---      |       
  4    |   170/281    |    0.3865    |    0.5088    |    0.2642    |     ---      |     ---      |     ---      |       
  4    |   180/281    |    0.3829    |    0.5037    |    0.2622    |     ---      |     ---      |     ---      |       
  4    |   190/281    |    0.3792    |    0.4981    |    0.2602    |     ---      |     ---      |     ---      |       
  4    |   200/281    |    0.3756    |    0.4932    |    0.2579    |     ---      |     ---      |     ---      |       
  4    |   210/281    |    0.3725    |    0.4889    |    0.2560    |     ---      |     ---      |     ---      |       
  4    |   220/281    |    0.3713    |    0.4878    |    0.2548    |     ---      |     ---      |     ---      |       
  4    |   230/281    |    0.3692    |    0.4850    |    0.2534    |     ---      |     ---      |     ---      |       
  4    |   240/281    |    0.3671    |    0.4822    |    0.2520    |     ---      |     ---      |     ---      |       
  4    |   250/281    |    0.3649    |    0.4793    |    0.2505    |     ---      |     ---      |     ---      |       
  4    |   260/281    |    0.3625    |    0.4761    |    0.2489    |     ---      |     ---      |     ---      |       
  4    |   270/281    |    0.3597    |    0.4724    |    0.2471    |     ---      |     ---      |     ---      |       
  4    |   280/281    |    0.3578    |    0.4693    |    0.2464    |     ---      |     ---      |     ---      |       
  4    |   Complete   |    0.3575    |    0.4687    |    0.2462    |    0.3104    |    0.4174    |    0.2034    |   *   
  5    |    10/281    |    0.2929    |    0.3825    |    0.2033    |     ---      |     ---      |     ---      |       
  5    |    20/281    |    0.2840    |    0.3734    |    0.1946    |     ---      |     ---      |     ---      |       
  5    |    30/281    |    0.2779    |    0.3650    |    0.1907    |     ---      |     ---      |     ---      |       
  5    |    40/281    |    0.2777    |    0.3645    |    0.1909    |     ---      |     ---      |     ---      |       
  5    |    50/281    |    0.2778    |    0.3659    |    0.1897    |     ---      |     ---      |     ---      |       
  5    |    60/281    |    0.2746    |    0.3604    |    0.1888    |     ---      |     ---      |     ---      |       
  5    |    70/281    |    0.2743    |    0.3602    |    0.1884    |     ---      |     ---      |     ---      |       
  5    |    80/281    |    0.2720    |    0.3573    |    0.1867    |     ---      |     ---      |     ---      |       
  5    |    90/281    |    0.2693    |    0.3540    |    0.1847    |     ---      |     ---      |     ---      |       
  5    |   100/281    |    0.2671    |    0.3510    |    0.1832    |     ---      |     ---      |     ---      |       
  5    |   110/281    |    0.2669    |    0.3505    |    0.1833    |     ---      |     ---      |     ---      |       
  5    |   120/281    |    0.2644    |    0.3466    |    0.1821    |     ---      |     ---      |     ---      |       
  5    |   130/281    |    0.2626    |    0.3443    |    0.1809    |     ---      |     ---      |     ---      |       
  5    |   140/281    |    0.2607    |    0.3421    |    0.1793    |     ---      |     ---      |     ---      |       
  5    |   150/281    |    0.2600    |    0.3415    |    0.1784    |     ---      |     ---      |     ---      |       
  5    |   160/281    |    0.2579    |    0.3383    |    0.1774    |     ---      |     ---      |     ---      |       
  5    |   170/281    |    0.2567    |    0.3363    |    0.1770    |     ---      |     ---      |     ---      |       
  5    |   180/281    |    0.2544    |    0.3334    |    0.1754    |     ---      |     ---      |     ---      |       
  5    |   190/281    |    0.2524    |    0.3306    |    0.1742    |     ---      |     ---      |     ---      |       
  5    |   200/281    |    0.2505    |    0.3281    |    0.1730    |     ---      |     ---      |     ---      |       
  5    |   210/281    |    0.2491    |    0.3263    |    0.1719    |     ---      |     ---      |     ---      |       
  5    |   220/281    |    0.2482    |    0.3249    |    0.1715    |     ---      |     ---      |     ---      |       
  5    |   230/281    |    0.2477    |    0.3241    |    0.1712    |     ---      |     ---      |     ---      |       
  5    |   240/281    |    0.2464    |    0.3218    |    0.1711    |     ---      |     ---      |     ---      |       
  5    |   250/281    |    0.2447    |    0.3195    |    0.1699    |     ---      |     ---      |     ---      |       
  5    |   260/281    |    0.2438    |    0.3182    |    0.1693    |     ---      |     ---      |     ---      |       
  5    |   270/281    |    0.2427    |    0.3168    |    0.1686    |     ---      |     ---      |     ---      |       
  5    |   280/281    |    0.2419    |    0.3158    |    0.1680    |     ---      |     ---      |     ---      |       
  5    |   Complete   |    0.2418    |    0.3155    |    0.1680    |    0.2420    |    0.3249    |    0.1592    |   *   
  6    |    10/281    |    0.2000    |    0.2473    |    0.1528    |     ---      |     ---      |     ---      |       
  6    |    20/281    |    0.1927    |    0.2448    |    0.1406    |     ---      |     ---      |     ---      |       
  6    |    30/281    |    0.1939    |    0.2494    |    0.1384    |     ---      |     ---      |     ---      |       
  6    |    40/281    |    0.1965    |    0.2569    |    0.1360    |     ---      |     ---      |     ---      |       
  6    |    50/281    |    0.1944    |    0.2539    |    0.1348    |     ---      |     ---      |     ---      |       
  6    |    60/281    |    0.1931    |    0.2520    |    0.1341    |     ---      |     ---      |     ---      |       
  6    |    70/281    |    0.1935    |    0.2533    |    0.1337    |     ---      |     ---      |     ---      |       
  6    |    80/281    |    0.1927    |    0.2521    |    0.1333    |     ---      |     ---      |     ---      |       
  6    |    90/281    |    0.1906    |    0.2496    |    0.1316    |     ---      |     ---      |     ---      |       
  6    |   100/281    |    0.1906    |    0.2504    |    0.1308    |     ---      |     ---      |     ---      |       
  6    |   110/281    |    0.1896    |    0.2488    |    0.1304    |     ---      |     ---      |     ---      |       
  6    |   120/281    |    0.1893    |    0.2490    |    0.1297    |     ---      |     ---      |     ---      |       
  6    |   130/281    |    0.1890    |    0.2485    |    0.1295    |     ---      |     ---      |     ---      |       
  6    |   140/281    |    0.1882    |    0.2477    |    0.1288    |     ---      |     ---      |     ---      |       
  6    |   150/281    |    0.1879    |    0.2471    |    0.1286    |     ---      |     ---      |     ---      |       
  6    |   160/281    |    0.1882    |    0.2481    |    0.1283    |     ---      |     ---      |     ---      |       
  6    |   170/281    |    0.1883    |    0.2485    |    0.1282    |     ---      |     ---      |     ---      |       
  6    |   180/281    |    0.1880    |    0.2483    |    0.1276    |     ---      |     ---      |     ---      |       
  6    |   190/281    |    0.1879    |    0.2480    |    0.1277    |     ---      |     ---      |     ---      |       
  6    |   200/281    |    0.1871    |    0.2471    |    0.1270    |     ---      |     ---      |     ---      |       
  6    |   210/281    |    0.1860    |    0.2458    |    0.1262    |     ---      |     ---      |     ---      |       
  6    |   220/281    |    0.1857    |    0.2455    |    0.1259    |     ---      |     ---      |     ---      |       
  6    |   230/281    |    0.1851    |    0.2449    |    0.1253    |     ---      |     ---      |     ---      |       
  6    |   240/281    |    0.1846    |    0.2443    |    0.1250    |     ---      |     ---      |     ---      |       
  6    |   250/281    |    0.1843    |    0.2444    |    0.1243    |     ---      |     ---      |     ---      |       
  6    |   260/281    |    0.1840    |    0.2440    |    0.1239    |     ---      |     ---      |     ---      |       
  6    |   270/281    |    0.1835    |    0.2437    |    0.1232    |     ---      |     ---      |     ---      |       
  6    |   280/281    |    0.1828    |    0.2427    |    0.1230    |     ---      |     ---      |     ---      |       
  6    |   Complete   |    0.1829    |    0.2428    |    0.1230    |    0.1796    |    0.2456    |    0.1135    |   *   
  7    |    10/281    |    0.1580    |    0.2112    |    0.1048    |     ---      |     ---      |     ---      |       
  7    |    20/281    |    0.1585    |    0.2115    |    0.1056    |     ---      |     ---      |     ---      |       
  7    |    30/281    |    0.1611    |    0.2130    |    0.1092    |     ---      |     ---      |     ---      |       
  7    |    40/281    |    0.1627    |    0.2174    |    0.1079    |     ---      |     ---      |     ---      |       
  7    |    50/281    |    0.1620    |    0.2159    |    0.1081    |     ---      |     ---      |     ---      |       
  7    |    60/281    |    0.1618    |    0.2160    |    0.1075    |     ---      |     ---      |     ---      |       
  7    |    70/281    |    0.1627    |    0.2177    |    0.1076    |     ---      |     ---      |     ---      |       
  7    |    80/281    |    0.1627    |    0.2186    |    0.1068    |     ---      |     ---      |     ---      |       
  7    |    90/281    |    0.1639    |    0.2197    |    0.1081    |     ---      |     ---      |     ---      |       
  7    |   100/281    |    0.1624    |    0.2174    |    0.1073    |     ---      |     ---      |     ---      |       
  7    |   110/281    |    0.1609    |    0.2146    |    0.1072    |     ---      |     ---      |     ---      |       
  7    |   120/281    |    0.1604    |    0.2144    |    0.1065    |     ---      |     ---      |     ---      |       
  7    |   130/281    |    0.1608    |    0.2151    |    0.1065    |     ---      |     ---      |     ---      |       
  7    |   140/281    |    0.1604    |    0.2149    |    0.1060    |     ---      |     ---      |     ---      |       
  7    |   150/281    |    0.1602    |    0.2147    |    0.1057    |     ---      |     ---      |     ---      |       
  7    |   160/281    |    0.1597    |    0.2141    |    0.1053    |     ---      |     ---      |     ---      |       
  7    |   170/281    |    0.1593    |    0.2129    |    0.1057    |     ---      |     ---      |     ---      |       
  7    |   180/281    |    0.1586    |    0.2121    |    0.1052    |     ---      |     ---      |     ---      |       
  7    |   190/281    |    0.1589    |    0.2128    |    0.1050    |     ---      |     ---      |     ---      |       
  7    |   200/281    |    0.1584    |    0.2122    |    0.1046    |     ---      |     ---      |     ---      |       
  7    |   210/281    |    0.1581    |    0.2120    |    0.1043    |     ---      |     ---      |     ---      |       
  7    |   220/281    |    0.1581    |    0.2122    |    0.1040    |     ---      |     ---      |     ---      |       
  7    |   230/281    |    0.1573    |    0.2108    |    0.1037    |     ---      |     ---      |     ---      |       
  7    |   240/281    |    0.1572    |    0.2105    |    0.1038    |     ---      |     ---      |     ---      |       
  7    |   250/281    |    0.1571    |    0.2107    |    0.1034    |     ---      |     ---      |     ---      |       
  7    |   260/281    |    0.1568    |    0.2106    |    0.1031    |     ---      |     ---      |     ---      |       
  7    |   270/281    |    0.1561    |    0.2096    |    0.1027    |     ---      |     ---      |     ---      |       
  7    |   280/281    |    0.1558    |    0.2095    |    0.1022    |     ---      |     ---      |     ---      |       
  7    |   Complete   |    0.1559    |    0.2096    |    0.1022    |    0.1650    |    0.2244    |    0.1056    |   *   
  8    |    10/281    |    0.1499    |    0.2067    |    0.0932    |     ---      |     ---      |     ---      |       
  8    |    20/281    |    0.1550    |    0.2184    |    0.0916    |     ---      |     ---      |     ---      |       
  8    |    30/281    |    0.1498    |    0.2102    |    0.0894    |     ---      |     ---      |     ---      |       
  8    |    40/281    |    0.1448    |    0.1998    |    0.0898    |     ---      |     ---      |     ---      |       
  8    |    50/281    |    0.1446    |    0.1991    |    0.0900    |     ---      |     ---      |     ---      |       
  8    |    60/281    |    0.1439    |    0.1978    |    0.0900    |     ---      |     ---      |     ---      |       
  8    |    70/281    |    0.1419    |    0.1944    |    0.0893    |     ---      |     ---      |     ---      |       
